Model,Experiment,Exp_Type,Exp_Subtype,Status,Sequences,Precision,Recall,F1,FP_Rate,Data_Source
CPD_RBF,Baseline,baseline,standard_cpd,success,100,0.0015134044393196886,0.21,0.0030051516886090437,,
CPD_RBF,feat_shuffle_within,feature_shuffle,within_sequence,success,100,0.0007930214115781126,0.05,0.00156128024980484,,
CPD_RBF,feat_shuffle_across,feature_shuffle,across_sequence,success,100,0.0015134044393196886,0.21,0.0030051516886090437,,
CPD_RBF,seq_no_hallu,no_hallucination,no_distractor_data,success,99,,,,4.98989898989899,no_distractor_files
CPD_RBF,random_cp,random_cp,random_selection,success,100,0.00553684503493269,0.011,0.0073655336864636035,,
CPD+RF,Baseline,baseline,standard_cpd,success,100,0.0016049156272927366,0.35,0.0031951798429797327,,
CPD+RF,feat_shuffle_within,feature_shuffle,within_sequence,success,100,0.0015781386270193945,0.38,0.003143223458372968,,
CPD+RF,feat_shuffle_across,feature_shuffle,across_sequence,success,100,0.0015132061628760087,0.33,0.0030125981376666056,,
CPD+RF,seq_no_hallu,no_hallucination,no_distractor_data,success,99,,,,1.0,no_distractor_files
CPD+RF,random_cp,random_cp,random_selection,success,100,0.00553684503493269,0.011,0.0073655336864636035,,
CPD+LR,Baseline,baseline,standard_cpd,success,100,0.002043562777251657,0.41,0.004066855130684918,,
CPD+LR,feat_shuffle_within,feature_shuffle,within_sequence,success,100,0.0020856002901704753,0.46,0.004152374074742734,,
CPD+LR,feat_shuffle_across,feature_shuffle,across_sequence,success,100,0.0018441907989832028,0.37,0.0036700887764717556,,
CPD+LR,seq_no_hallu,no_hallucination,no_distractor_data,success,99,,,,1.0,no_distractor_files
CPD+LR,random_cp,random_cp,random_selection,success,100,0.00553684503493269,0.011,0.0073655336864636035,,
