pair_key,feature_1,feature_2,n_people_strong,avg_abs_rho,avg_rho
chunk_hallu_score||hallucination_score,hallucination_score,chunk_hallu_score,20,1.0,-1.0
evid_overlap_emb||evidence_overlap_emb,evid_overlap_emb,evidence_overlap_emb,20,1.0,1.0
evid_overlap_emb||evidence_overlap_ratio,evidence_overlap_ratio,evid_overlap_emb,20,1.0,1.0
evidence_overlap_emb||evidence_overlap_ratio,evidence_overlap_ratio,evidence_overlap_emb,20,1.0,1.0
dist_len||seq_len,seq_len,dist_len,20,0.9948234068118307,0.9948234068118307
interference_score_lexical_wrt_distractors||interference_token_hits,interference_score_lexical_wrt_distractors,interference_token_hits,20,0.8875863121025546,0.8875863121025546
dist_len||distractor_density_chunk,distractor_density_chunk,dist_len,20,0.8646026296839002,0.8646026296839002
distractor_density_chunk||seq_len,distractor_density_chunk,seq_len,20,0.864080550238317,0.864080550238317
resp_len||total_response_tokens,total_response_tokens,resp_len,13,0.8417672193283092,0.8417672193283092
att_avg_entropy||distractor_attention_max,att_avg_entropy,distractor_attention_max,9,0.7819940720871985,0.7819940720871985
att_avg_entropy||interference_score_lexical_wrt_distractors,interference_score_lexical_wrt_distractors,att_avg_entropy,9,0.7684346278512661,0.7684346278512661
evid_overlap_ngram||hallu_score,hallu_score,evid_overlap_ngram,7,0.8598439060843251,-0.6399952057755222
chunk_hallu_score||evid_overlap_emb,evid_overlap_emb,chunk_hallu_score,7,0.784583477193289,0.784583477193289
chunk_hallu_score||evidence_overlap_emb,chunk_hallu_score,evidence_overlap_emb,7,0.784583477193289,0.784583477193289
chunk_hallu_score||evidence_overlap_ratio,evidence_overlap_ratio,chunk_hallu_score,7,0.784583477193289,0.784583477193289
evid_overlap_emb||hallucination_score,evid_overlap_emb,hallucination_score,7,0.784583477193289,-0.784583477193289
evidence_overlap_emb||hallucination_score,hallucination_score,evidence_overlap_emb,7,0.784583477193289,-0.784583477193289
evidence_overlap_ratio||hallucination_score,evidence_overlap_ratio,hallucination_score,7,0.784583477193289,-0.784583477193289
chunk_hallu_score||hallu_score,hallu_score,chunk_hallu_score,5,0.8401866578313877,-0.8401866578313877
hallu_score||hallucination_score,hallu_score,hallucination_score,5,0.8401866578313877,0.8401866578313877
hallu_score||interference_score_lexical_wrt_distractors,interference_score_lexical_wrt_distractors,hallu_score,5,0.8289462624050433,0.8289462624050433
att_avg_entropy||interference_token_hits,interference_token_hits,att_avg_entropy,5,0.7893495370116397,0.7893495370116397
evid_overlap_emb||evid_overlap_ngram,evid_overlap_ngram,evid_overlap_emb,5,0.7815786354305428,0.7815786354305428
evid_overlap_ngram||evidence_overlap_emb,evid_overlap_ngram,evidence_overlap_emb,5,0.7815786354305428,0.7815786354305428
evid_overlap_ngram||evidence_overlap_ratio,evidence_overlap_ratio,evid_overlap_ngram,5,0.7815786354305428,0.7815786354305428
distractor_attention_max||interference_token_hits,interference_token_hits,distractor_attention_max,5,0.7676988025610223,0.7676988025610223
gold_available||gold_found,gold_found,gold_available,4,1.0,1.0
gold_available||gold_len,gold_len,gold_available,4,0.9727831971697517,0.9727831971697517
gold_found||gold_len,gold_len,gold_found,4,0.9727831971697517,0.9727831971697517
cross_attention_mass_to_gold_raw||gold_len,gold_len,cross_attention_mass_to_gold_raw,4,0.9251337583093862,0.9251337583093862
att_avg_entropy||distractor_density_chunk,att_avg_entropy,distractor_density_chunk,4,0.7804830611863572,0.7804830611863572
evid_overlap_ngram||total_response_tokens,evid_overlap_ngram,total_response_tokens,4,0.7517282218230944,0.008793519950885509
hallu_score||total_response_tokens,hallu_score,total_response_tokens,4,0.7471376732097786,0.7471376732097786
cross_attention_mass_to_gold_raw||gold_available,cross_attention_mass_to_gold_raw,gold_available,3,0.99118558676594,0.99118558676594
cross_attention_mass_to_gold_raw||gold_found,cross_attention_mass_to_gold_raw,gold_found,3,0.99118558676594,0.99118558676594
hallu_score||interference_token_hits,hallu_score,interference_token_hits,3,0.8592131457203674,0.8592131457203674
evid_overlap_ngram||interference_score_lexical_wrt_distractors,interference_score_lexical_wrt_distractors,evid_overlap_ngram,3,0.8293332773369079,-0.8293332773369079
evid_overlap_ngram||interference_token_hits,evid_overlap_ngram,interference_token_hits,3,0.7932835831536549,-0.7932835831536549
evid_overlap_emb||interference_score_lexical_wrt_distractors,interference_score_lexical_wrt_distractors,evid_overlap_emb,3,0.7792342028787838,-0.7792342028787838
evidence_overlap_emb||interference_score_lexical_wrt_distractors,interference_score_lexical_wrt_distractors,evidence_overlap_emb,3,0.7792342028787838,-0.7792342028787838
evidence_overlap_ratio||interference_score_lexical_wrt_distractors,interference_score_lexical_wrt_distractors,evidence_overlap_ratio,3,0.7792342028787838,-0.7792342028787838
distractor_attention_max||interference_score_lexical_wrt_distractors,interference_score_lexical_wrt_distractors,distractor_attention_max,3,0.7709408324733403,0.7709408324733403
hallu_score||resp_len,hallu_score,resp_len,3,0.7631310583242398,0.7631310583242398
att_avg_entropy||evid_overlap_emb,evid_overlap_emb,att_avg_entropy,3,0.7397212725300605,-0.7397212725300605
att_avg_entropy||evidence_overlap_emb,att_avg_entropy,evidence_overlap_emb,3,0.7397212725300605,-0.7397212725300605
att_avg_entropy||evidence_overlap_ratio,evidence_overlap_ratio,att_avg_entropy,3,0.7397212725300605,-0.7397212725300605
evid_overlap_emb||hallu_score,hallu_score,evid_overlap_emb,2,0.9183047048516408,-0.9183047048516408
evidence_overlap_emb||hallu_score,hallu_score,evidence_overlap_emb,2,0.9183047048516408,-0.9183047048516408
evidence_overlap_ratio||hallu_score,evidence_overlap_ratio,hallu_score,2,0.9183047048516408,-0.9183047048516408
chunk_hallu_score||evid_overlap_ngram,evid_overlap_ngram,chunk_hallu_score,2,0.8619390853820611,0.8619390853820611
evid_overlap_ngram||hallucination_score,evid_overlap_ngram,hallucination_score,2,0.8619390853820611,-0.8619390853820611
interference_token_hits||resp_len,interference_token_hits,resp_len,2,0.7850877192982455,0.7850877192982455
att_avg_entropy||dist_len,att_avg_entropy,dist_len,2,0.7722910216718266,0.7722910216718266
att_avg_entropy||seq_len,att_avg_entropy,seq_len,2,0.7702786377708979,0.7702786377708979
interference_token_hits||total_response_tokens,total_response_tokens,interference_token_hits,2,0.7628040337873448,0.7628040337873448
