config_key,dataset,evidence_pos,density,interference,status,num_sequences,avg_detections,std_detections,min_detections,max_detections,pct_with_detections
"('01_nq_closed_book', 'Beg', 'High', 'N')",01_nq_closed_book,Beg,High,N,success,10,0.3,0.9000000000000001,0,3,10.0
"('01_nq_closed_book', 'Beg', 'High', 'P')",01_nq_closed_book,Beg,High,P,success,10,0.2,0.6000000000000001,0,2,10.0
"('01_nq_closed_book', 'Beg', 'High', 'T')",01_nq_closed_book,Beg,High,T,success,9,1.1111111111111112,2.8065179867366865,0,9,22.22222222222222
"('01_nq_closed_book', 'Beg', 'Low', 'N')",01_nq_closed_book,Beg,Low,N,success,9,0.7777777777777778,2.199887763691481,0,7,11.11111111111111
"('01_nq_closed_book', 'Beg', 'Low', 'P')",01_nq_closed_book,Beg,Low,P,success,9,0.0,0.0,0,0,0.0
"('01_nq_closed_book', 'Beg', 'Low', 'T')",01_nq_closed_book,Beg,Low,T,success,9,0.7777777777777778,2.199887763691481,0,7,11.11111111111111
"('01_nq_closed_book', 'Beg', 'Medium', 'N')",01_nq_closed_book,Beg,Medium,N,success,10,0.7,1.7916472867168918,0,6,20.0
"('01_nq_closed_book', 'Beg', 'Medium', 'P')",01_nq_closed_book,Beg,Medium,P,success,8,0.0,0.0,0,0,0.0
"('01_nq_closed_book', 'Beg', 'Medium', 'T')",01_nq_closed_book,Beg,Medium,T,success,9,0.0,0.0,0,0,0.0
"('01_nq_closed_book', 'End', 'High', 'N')",01_nq_closed_book,End,High,N,success,10,0.0,0.0,0,0,0.0
"('01_nq_closed_book', 'End', 'High', 'P')",01_nq_closed_book,End,High,P,success,10,0.8,1.6000000000000003,0,4,20.0
"('01_nq_closed_book', 'End', 'High', 'T')",01_nq_closed_book,End,High,T,success,9,0.8888888888888888,2.5141574442188355,0,8,11.11111111111111
"('01_nq_closed_book', 'End', 'Low', 'N')",01_nq_closed_book,End,Low,N,success,7,0.0,0.0,0,0,0.0
"('01_nq_closed_book', 'End', 'Low', 'P')",01_nq_closed_book,End,Low,P,success,8,2.25,3.418698582794336,0,9,37.5
"('01_nq_closed_book', 'End', 'Low', 'T')",01_nq_closed_book,End,Low,T,success,10,0.8,1.8330302779823362,0,6,20.0
"('01_nq_closed_book', 'End', 'Medium', 'N')",01_nq_closed_book,End,Medium,N,success,10,0.0,0.0,0,0,0.0
"('01_nq_closed_book', 'End', 'Medium', 'P')",01_nq_closed_book,End,Medium,P,success,7,0.0,0.0,0,0,0.0
"('01_nq_closed_book', 'End', 'Medium', 'T')",01_nq_closed_book,End,Medium,T,success,8,0.0,0.0,0,0,0.0
"('01_nq_closed_book', 'Mid', 'High', 'N')",01_nq_closed_book,Mid,High,N,success,9,0.0,0.0,0,0,0.0
"('01_nq_closed_book', 'Mid', 'High', 'P')",01_nq_closed_book,Mid,High,P,success,8,0.75,1.3919410907075054,0,4,25.0
"('01_nq_closed_book', 'Mid', 'High', 'T')",01_nq_closed_book,Mid,High,T,success,9,1.3333333333333333,3.7712361663282534,0,12,11.11111111111111
"('01_nq_closed_book', 'Mid', 'Low', 'N')",01_nq_closed_book,Mid,Low,N,success,10,0.0,0.0,0,0,0.0
"('01_nq_closed_book', 'Mid', 'Low', 'P')",01_nq_closed_book,Mid,Low,P,success,12,1.75,3.139134700306227,0,9,25.0
