sequence_id,change_point,confidence
10__01_nq_closed_book__High-N-Beg,116,0.9879751418230103
10__01_nq_closed_book__High-N-End,134,0.7077260878099344
10__01_nq_closed_book__High-N-Mid,113,0.9617455164656912
10__01_nq_closed_book__High-P-Beg,188,0.8219698939296121
10__01_nq_closed_book__High-P-End,55,0.8758633387447463
10__01_nq_closed_book__High-P-Mid,237,0.9437040578148845
10__01_nq_closed_book__High-T-Beg,195,0.9250202747549338
10__01_nq_closed_book__High-T-End,236,0.9471833293155613
10__01_nq_closed_book__High-T-Mid,136,0.791378862943155
10__01_nq_closed_book__Low-N-Beg,93,0.8826501950890916
10__01_nq_closed_book__Low-N-End,51,0.9445854862869701
10__01_nq_closed_book__Low-N-Mid,218,0.8341819109548734
10__01_nq_closed_book__Low-P-Beg,137,0.8263764048457405
10__01_nq_closed_book__Low-P-End,95,0.8356094053627098
10__01_nq_closed_book__Low-P-Mid,222,0.9737492575451311
10__01_nq_closed_book__Low-T-Beg,184,0.7431972356142439
10__01_nq_closed_book__Low-T-End,202,0.9886088948908202
10__01_nq_closed_book__Low-T-Mid,145,0.7786552106295446
10__01_nq_closed_book__Medium-N-Beg,220,0.9542951513180447
10__01_nq_closed_book__Medium-N-End,92,0.8089009564167523
10__01_nq_closed_book__Medium-N-Mid,222,0.8565900270018685
10__01_nq_closed_book__Medium-P-Beg,90,0.9244352712538797
10__01_nq_closed_book__Medium-P-End,240,0.807000249401106
10__01_nq_closed_book__Medium-P-Mid,73,0.9327993326550205
10__01_nq_closed_book__Medium-T-Beg,212,0.794512694490856
10__01_nq_closed_book__Medium-T-End,197,0.7719687967565102
10__01_nq_closed_book__Medium-T-Mid,134,0.7289742670789692
10__02_hotpot_citation__High-N-Beg,168,0.8566842987822644
10__02_hotpot_citation__High-N-End,147,0.8468719043578636
10__02_hotpot_citation__High-N-Mid,203,0.7713637399370206
10__02_hotpot_citation__High-P-Beg,55,0.8510487440653665
10__02_hotpot_citation__High-P-End,141,0.9703065870803503
10__02_hotpot_citation__High-P-Mid,230,0.982739021296684
10__02_hotpot_citation__High-T-Beg,104,0.7305900968410923
10__02_hotpot_citation__High-T-End,102,0.805267324047034
10__02_hotpot_citation__High-T-Mid,63,0.7942973314934003
10__02_hotpot_citation__Low-N-Beg,169,0.8281656815994466
10__02_hotpot_citation__Low-N-End,130,0.930289135185526
10__02_hotpot_citation__Low-N-Mid,194,0.7285105738195102
10__02_hotpot_citation__Low-P-Beg,139,0.7280290830562666
10__02_hotpot_citation__Low-P-End,185,0.7265451760140406
10__02_hotpot_citation__Low-P-Mid,129,0.9557965227801039
10__02_hotpot_citation__Low-T-Beg,127,0.70905097052771
10__02_hotpot_citation__Low-T-End,203,0.8626417709703256
10__02_hotpot_citation__Low-T-Mid,86,0.7726299432011084
10__02_hotpot_citation__Medium-N-Beg,113,0.839280611891446
10__02_hotpot_citation__Medium-N-End,142,0.7683366905048269
10__02_hotpot_citation__Medium-N-Mid,96,0.7704448557315163
10__02_hotpot_citation__Medium-P-Beg,71,0.8076554241112711
10__02_hotpot_citation__Medium-P-End,186,0.7084404411514754
10__02_hotpot_citation__Medium-P-Mid,128,0.7480896596512624
10__02_hotpot_citation__Medium-T-Beg,121,0.8545137016250925
10__02_hotpot_citation__Medium-T-End,58,0.7618732344201095
10__02_hotpot_citation__Medium-T-Mid,136,0.8374216984006212
10__03_novelhop_multihop__High-N-Beg,180,0.8676956208404721
10__03_novelhop_multihop__High-N-End,186,0.7852634390018789
10__03_novelhop_multihop__High-N-Mid,239,0.7973160781807775
10__03_novelhop_multihop__High-P-Beg,227,0.9123032474568171
10__03_novelhop_multihop__High-P-End,146,0.7998782131902468
10__03_novelhop_multihop__High-P-Mid,113,0.9275300593274999
10__03_novelhop_multihop__High-T-Beg,178,0.8884270902531124
10__03_novelhop_multihop__High-T-End,224,0.9527463097052524
10__03_novelhop_multihop__High-T-Mid,112,0.7345116954650219
10__03_novelhop_multihop__Low-N-Beg,186,0.9000060801893428
10__03_novelhop_multihop__Low-N-End,68,0.9459575147268665
10__03_novelhop_multihop__Low-N-Mid,153,0.774549455254698
10__03_novelhop_multihop__Low-P-Beg,211,0.886274195715917
10__03_novelhop_multihop__Low-P-End,84,0.8896176870614307
10__03_novelhop_multihop__Low-P-Mid,109,0.8457358628906853
10__03_novelhop_multihop__Low-T-Beg,224,0.7792265796982831
10__03_novelhop_multihop__Low-T-End,97,0.8064962077315244
10__03_novelhop_multihop__Low-T-Mid,77,0.822759623359616
10__03_novelhop_multihop__Medium-N-Beg,154,0.7131958083853173
10__03_novelhop_multihop__Medium-N-End,220,0.9047662199756252
10__03_novelhop_multihop__Medium-N-Mid,166,0.7482536934792088
10__03_novelhop_multihop__Medium-P-Beg,154,0.8173191868820106
10__03_novelhop_multihop__Medium-P-End,62,0.9528913612841673
10__03_novelhop_multihop__Medium-P-Mid,145,0.8464574834029002
10__03_novelhop_multihop__Medium-T-Beg,144,0.9488437286722764
10__03_novelhop_multihop__Medium-T-End,102,0.9210428572199509
10__03_novelhop_multihop__Medium-T-Mid,221,0.843807911596151
10__04_temporal_recency__High-N-Beg,205,0.9473365079435472
10__04_temporal_recency__High-N-End,201,0.7296699430395938
10__04_temporal_recency__High-N-Mid,233,0.8549070414425628
10__04_temporal_recency__High-P-Beg,124,0.9561472246413538
10__04_temporal_recency__High-P-End,158,0.9618625140800687
10__04_temporal_recency__High-P-Mid,218,0.9257370552182793
10__04_temporal_recency__High-T-Beg,186,0.8963639431438339
10__04_temporal_recency__High-T-End,138,0.8264166836734225
10__04_temporal_recency__High-T-Mid,148,0.8395653498939043
10__04_temporal_recency__Low-N-Beg,105,0.9675902419037302
10__04_temporal_recency__Low-N-End,200,0.9830798023600756
10__04_temporal_recency__Low-N-Mid,127,0.9774482847203985
10__04_temporal_recency__Low-P-Beg,70,0.7326612928593186
10__04_temporal_recency__Low-P-End,71,0.8890153773473767
10__04_temporal_recency__Low-P-Mid,193,0.9610645295983735
10__04_temporal_recency__Low-T-Beg,51,0.8130340716811941
10__04_temporal_recency__Low-T-End,169,0.7688063465027664
10__04_temporal_recency__Low-T-Mid,225,0.9355634232351571
10__04_temporal_recency__Medium-N-Beg,145,0.9721312919444933
10__04_temporal_recency__Medium-N-End,196,0.8787675991387216
10__04_temporal_recency__Medium-N-Mid,187,0.7053099630383513
10__04_temporal_recency__Medium-P-Beg,132,0.7919224694621748
